City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Albany,US,42.6,-73.97,77.0,32,12,2.57,few clouds
83,Preobrazheniye,RU,42.9,133.91,63.36,63,100,2.86,overcast clouds
84,Cayenne,GF,4.93,-52.33,84.2,74,44,10.29,scattered clouds
85,Hobart,AU,-42.88,147.33,41.0,83,75,10.29,broken clouds
86,Berbera,SO,10.44,45.01,93.52,43,2,14.88,clear sky
87,Hermanus,ZA,-34.42,19.23,53.01,94,1,1.01,clear sky
88,Itaituba,BR,-4.28,-55.98,98.6,39,20,6.93,few clouds
89,Ambulu,ID,-8.35,113.61,70.07,79,0,3.24,clear sky
90,Tall Kayf,TR,37.08,41.07,77.0,27,0,2.24,clear sky
91,Waipawa,NZ,-41.41,175.52,57.2,76,51,20.8,broken clouds
92,Matata,NZ,-37.88,176.75,59.0,80,42,5.01,scattered clouds
93,Bhimunipatnam,IN,17.88,83.43,80.6,88,90,13.87,mist
94,Haapiti,PF,-17.57,-149.87,78.8,78,75,1.12,broken clouds
95,Tateyama,JP,34.98,139.87,81.0,93,0,7.4,clear sky
96,Abalak,RU,58.13,68.59,49.66,96,97,3.53,overcast clouds
97,Rio Grande,BR,-32.03,-52.1,53.6,40,68,19.46,broken clouds
98,Mimongo,GA,-1.62,11.61,71.22,84,100,6.15,overcast clouds
99,Sao Felix Do Xingu,BR,-6.64,-51.99,93.02,23,22,1.88,few clouds
100,Kapaa,US,22.08,-159.32,82.4,69,40,13.87,scattered clouds
101,Provideniya,RU,64.38,-173.3,53.6,71,69,8.95,broken clouds
102,Dikson,RU,73.51,80.55,44.69,78,0,14.92,clear sky
103,Torbay,CA,47.67,-52.73,73.4,53,40,20.8,scattered clouds
104,Georgiyevka,KZ,43.04,74.71,60.8,67,20,2.24,few clouds
105,Saint-Joseph,RE,-21.37,55.62,68.0,60,14,8.05,few clouds
106,Cabo San Lucas,MX,22.89,-109.91,82.0,88,90,12.75,overcast clouds
107,Carnarvon,AU,-24.87,113.63,64.4,77,75,17.22,broken clouds
108,Bambous Virieux,MU,-20.34,57.76,71.01,77,75,9.17,broken clouds
109,Lavrentiya,RU,65.58,-171.0,52.74,69,47,4.74,scattered clouds
110,Mahebourg,MU,-20.41,57.7,69.8,77,75,9.17,broken clouds
