City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
189,Hoi An,VN,78.8,few clouds,15.88,108.33,Belle Maison Hadana Hoi An Resort & Spa managed by H&K Hospitality
190,Takoradi,GH,75.04,broken clouds,4.88,-1.76,Raybow International Hotel
191,Meulaboh,ID,78.58,light rain,4.14,96.13,Kost Pria
192,Georgetown,MY,82.4,few clouds,5.41,100.34,Cititel Penang
193,Eyl,SO,76.77,clear sky,7.98,49.82,Amiin Hotel
194,Ponta Do Sol,PT,75.2,few clouds,32.67,-17.1,Hotel do Campo
199,Aleksandrow Kujawski,PL,66.0,overcast clouds,52.88,18.69,Hotel Restauracja Aquarius
200,Arraial Do Cabo,BR,71.6,light intensity drizzle,-22.97,-42.03,Pousada Porto Praia
202,Labuhan,ID,76.06,clear sky,-6.88,112.21,bador sepret
203,Vangaindrano,MG,67.32,light rain,-23.35,47.6,Hotel Fanilo
204,Katsuura,JP,78.01,clear sky,35.13,140.3,Katsuura Hotel Mikazuki
205,Samarai,PG,75.67,few clouds,-10.62,150.67,Nuli Sapi
213,Saint-Philippe,RE,68.0,scattered clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
216,Namatanai,PG,79.43,clear sky,-3.67,152.43,Namatanai Hotel
219,Yining,CN,75.18,broken clouds,29.04,114.56,Xiushui Hotel
221,Lingao,CN,78.71,overcast clouds,19.91,109.69,Lingao Ditai Inn
223,Kobelyaky,UA,70.56,overcast clouds,49.15,34.2,Апарт отель Грация
226,Sal Rei,CV,78.8,broken clouds,16.18,-22.92,Marine Club Beach Resort
231,Talcahuano,CL,68.0,clear sky,-36.72,-73.12,Hotel Terramar
232,Shingu,JP,77.38,clear sky,33.73,135.98,Shingu UI Hotel
237,Rosamorada,MX,89.82,overcast clouds,22.12,-105.21,Hotel Catalina
239,Amahai,ID,74.75,few clouds,-3.33,128.92,Peternakan Ayam Bangkok Manisso
241,Santiago,CL,73.4,clear sky,-33.46,-70.65,Hotel Panamericano
242,Houma,US,87.01,broken clouds,29.6,-90.72,Courtyard by Marriott Houma
244,Porto Santo,PT,75.2,scattered clouds,33.07,-16.34,Hotel Porto Santo & Spa
247,Veraval,IN,81.3,light rain,20.9,70.37,Lords Inn Somnath
248,Faya,SA,69.8,broken clouds,18.39,42.45,مقبرة ال مجمل
249,Sumbe,AO,69.85,scattered clouds,-11.21,13.84,Hotel Ritz Sumbe
251,Zhongshan,CN,79.81,overcast clouds,21.32,110.58,Jianmin Restaurant
252,Westport,US,78.01,clear sky,41.14,-73.36,The Westport Inn
256,Balabac,PH,82.2,overcast clouds,7.99,117.06,Sing and Swing Lodge
257,Virpur,IN,76.03,overcast clouds,23.18,73.48,Sagar homes
258,Puerto Escondido,MX,86.0,scattered clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
260,Tual,ID,79.2,few clouds,-5.67,132.75,Grand Vilia Hotel
261,Tias,ES,75.2,clear sky,28.96,-13.64,Hotel Beatriz Playa & SPA
262,Susanville,US,88.0,haze,40.42,-120.65,Red Lion Inn & Suites Susanville
264,Dakar,SN,84.2,thunderstorm,14.69,-17.44,Novotel Dakar
265,Inirida,CO,87.53,light rain,3.87,-67.92,Fuente del Guania Hotel de Lujo
270,Amarpatan,IN,76.6,light rain,24.32,80.98,कब्रिस्तान
271,Dinajpur,BD,77.14,light rain,25.63,88.64,Hotel Sahara
273,Bengkulu,ID,76.05,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
274,Kenai,US,66.2,clear sky,60.55,-151.26,Aspen Extended Stay Suites
277,Soyo,AO,72.36,scattered clouds,-6.13,12.37,Hotel Mpampa
278,Araruna,BR,72.03,overcast clouds,-6.56,-35.74,Pousada AFINK
