City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Luderitz,NA,2020-08-18 21:36:09,-26.65,15.16,55.81,51,0,22.21
70,Kapit,MY,2020-08-18 21:40:14,2.02,112.93,73.44,94,100,1.68
71,Jamestown,US,2020-08-18 21:40:14,42.1,-79.24,72.0,46,1,9.17
72,Canto Do Buriti,BR,2020-08-18 21:39:58,-8.11,-42.94,81.0,36,1,6.71
73,Pisco,PE,2020-08-18 21:37:21,-13.7,-76.22,66.2,72,35,17.22
74,Morros,BR,2020-08-18 21:40:14,-9.45,-46.3,83.46,28,2,7.94
75,Nikolskoye,RU,2020-08-18 21:40:15,59.7,30.79,55.0,76,22,4.47
76,Chokurdakh,RU,2020-08-18 21:36:13,70.63,147.92,37.89,81,85,8.55
77,Gold Coast,AU,2020-08-18 21:39:11,-28.0,153.43,64.4,55,75,11.41
78,Nizwa,OM,2020-08-18 21:40:15,22.93,57.53,91.17,44,100,2.84
79,Wilmington,US,2020-08-18 21:39:36,34.23,-77.94,84.99,62,20,10.29
80,Youhao,CN,2020-08-18 21:40:16,47.87,128.83,54.3,81,97,3.31
81,Palana,RU,2020-08-18 21:40:16,59.12,159.97,51.49,95,100,3.74
82,Plettenberg Bay,ZA,2020-08-18 21:40:16,-34.05,23.37,51.42,75,93,16.42
83,Bethel,US,2020-08-18 21:37:29,41.37,-73.41,84.0,39,20,9.17
84,Nalut,LY,2020-08-18 21:40:16,30.33,10.85,89.31,15,34,7.92
85,Delta Del Tigre,UY,2020-08-18 21:40:17,-34.76,-56.39,59.0,58,0,5.82
86,Bengkulu,ID,2020-08-18 21:38:37,-3.8,102.27,75.94,84,52,4.74
87,Avarua,CK,2020-08-18 21:40:17,-21.21,-159.78,73.4,78,83,16.11
88,Takoradi,GH,2020-08-18 21:40:17,4.88,-1.76,74.88,89,39,10.54
89,Moose Factory,CA,2020-08-18 21:40:17,51.26,-80.61,55.4,82,90,8.05
90,Prince Rupert,CA,2020-08-18 21:40:18,54.32,-130.32,64.4,68,1,6.93
91,Lazaro Cardenas,MX,2020-08-18 21:40:18,17.96,-102.2,81.93,75,100,6.67
92,Nome,US,2020-08-18 21:36:22,64.5,-165.41,70.0,59,1,4.7
93,Chipinge,ZW,2020-08-18 21:40:18,-20.19,32.62,62.17,64,0,4.18
94,Mahebourg,MU,2020-08-18 21:37:02,-20.41,57.7,71.6,73,40,11.41
95,Maragogi,BR,2020-08-18 21:40:19,-9.01,-35.22,73.81,80,75,11.03
96,San Matias,BO,2020-08-18 21:40:19,-16.37,-58.4,93.94,15,0,5.21
97,Atikokan,CA,2020-08-18 21:40:19,48.76,-91.62,72.07,46,55,3.13
98,Cercal,PT,2020-08-18 21:40:19,37.81,-8.67,66.0,90,2,3.0
99,Sambava,MG,2020-08-18 21:40:20,-14.27,50.17,67.62,86,2,11.48
100,Sao Joao Da Barra,BR,2020-08-18 21:40:20,-21.64,-41.05,75.2,78,27,17.22
